ID,Label,Interval,Taxa,RelativeAbundance,Module,Phylum,WeightedDegree,ClusteringCoefficient,NumberTriangle,Module,Eccentricity,ClosenessCentrality,HarmonicClosenessCentrality,BetweennessCentrality,Degree
144,Xylophilus ampelinus,,Xylophilus ampelinus,0.10589915,M1,Pseudomonadota,1,0.806794405,6,0.297979798,0.319962335,0,2,0,0
158,Sphingobium mellinum,,Sphingobium mellinum,0.31974554,M3,Pseudomonadota,4,3.187156677,7,0.254310345,0.284100081,0.009902521,7,0.166666667,1
53,Sphingomonas sediminicola,,Sphingomonas sediminicola,0.52792954,M1,Pseudomonadota,12,9.709723949,6,0.297979798,0.357815443,0.030687148,7,0.227272727,15
81,Ilumatobacter fluminis,,Ilumatobacter fluminis,0.61021525,M3,Actinomycetota,11,8.900827408,5,0.375,0.425423729,0.025251181,2,0.290909091,16
52,Sphingomonas daechungensis,,Sphingomonas daechungensis,0.4814255,M1,Pseudomonadota,20,16.14220196,5,0.36875,0.439077213,0.051591237,7,0.3,57
103,Agromyces albus,,Agromyces albus,0.12156114,M3,Actinomycetota,5,3.903642416,6,0.320072333,0.353295669,0.002681842,7,0.3,3
90,Geitlerinema sp. PCC 7407,,Geitlerinema sp. PCC 7407,0.38275495,M6,Cyanobacteriota,3,2.541007876,1,1,1,1.09E-04,6,0.333333333,1
113,Lysobacter caseinilyticus,,Lysobacter caseinilyticus,0.353961,M3,Pseudomonadota,6,4.724527836,6,0.33778626,0.372222222,0.018430143,2,0.333333333,5
7,Noviherbaspirillum soli,,Noviherbaspirillum soli,0.14649984,M1,Pseudomonadota,3,2.344488382,6,0.305172414,0.334839925,0.009598604,2,0.333333333,1
176,Sphaerobacter thermophilus,,Sphaerobacter thermophilus,0.12204304,M3,Thermomicrobiota,3,2.329645514,6,0.271889401,0.308945386,4.31E-05,4,0.333333333,1
55,Sphingomonas sp. AE3,,Sphingomonas sp. AE3,0.3699844,M1,Pseudomonadota,14,11.29388124,5,0.372631579,0.428719397,0.042938307,7,0.362637363,33
92,Microlunatus phosphovorus,,Microlunatus phosphovorus,0.31805888,M3,Actinomycetota,33,26.61566895,5,0.443609023,0.528436911,0.046294963,4,0.373106061,197
61,Nitrosospira briensis,,Nitrosospira briensis,0.7435831,M1,Pseudomonadota,9,7.351401627,6,0.279620853,0.333145009,0.01873381,7,0.388888889,14
125,Microvirga ossetica,,Microvirga ossetica,0.81454396,M1,Pseudomonadota,33,26.92997974,5,0.451530612,0.5326742,0.029054603,2,0.393939394,208
68,Chthoniobacter flavus,,Chthoniobacter flavus,0.4339576,M1,Verrucomicrobiota,29,23.36594886,4,0.453846154,0.524011299,0.082760814,2,0.39408867,160
115,Thermomonas sp. SY21,,Thermomonas sp. SY21,0.18216099,M1,Pseudomonadota,5,4.029736936,6,0.286407767,0.323917137,0.009890091,7,0.4,4
185,Aliterella antarctica,,Aliterella antarctica,0.1493913,M4,Cyanobacteriota,14,11.21564162,6,0.354709419,0.423917137,0.056527417,0,0.406593407,37
33,Arthrobacter alpinus,,Arthrobacter alpinus,0.1868596,M1,Acidobacteriota,24,19.53858876,5,0.405034325,0.477777778,0.065636297,7,0.416666667,115
17,Pirellula staleyi,,Pirellula staleyi,0.31781793,M2,Planctomycetota,57,47.39923561,5,0.468253968,0.597080979,0.054767636,0,0.424185464,677
96,Microlunatus aurantiacus,,Microlunatus aurantiacus,0.31360123,M1,Actinomycetota,17,13.66066468,5,0.399548533,0.45819209,0.02278575,2,0.426470588,58
9,Skermanella stibiiresistens,,Skermanella stibiiresistens,1.756191,M1,Pseudomonadota,35,28.79512179,4,0.464566929,0.544256121,0.052095359,2,0.426890756,254
62,Microvirga subterranea,,Microvirga subterranea,0.38070685,M1,Pseudomonadota,27,21.98730534,5,0.443609023,0.514783427,0.020834389,2,0.43019943,151
142,Microvirga brassicacearum,,Microvirga brassicacearum,0.21999073,M3,Pseudomonadota,13,10.1528945,5,0.400452489,0.454896422,0.003652474,2,0.435897436,34
22,Pseudarthrobacter sulfonivorans,,Pseudarthrobacter sulfonivorans,0.8597228,M1,Actinomycetota,30,25.29368496,5,0.404109589,0.49039548,0.058271764,7,0.436781609,190
41,Flavisolibacter tropicus,,Flavisolibacter tropicus,0.22107501,M1,Bacteroidota,25,20.17430204,5,0.424460432,0.495009416,0.029645144,2,0.44,132
20,Chryseolinea soli,,Chryseolinea soli,1.2892227,M2,Bacteroidota,60,50.36552101,5,0.439205955,0.588700565,0.028781254,0,0.444632768,787
146,Longimicrobium terrae,,Longimicrobium terrae,0.14818652,M2,Gemmatimonadota,39,30.98254722,5,0.421428571,0.532485876,0.025306986,4,0.44534413,330
13,Steroidobacter denitrificans,,Steroidobacter denitrificans,0.9261055,M2,Pseudomonadota,55,45.69534051,5,0.425480769,0.571939736,0.024614695,4,0.44983165,668
12,Povalibacter uvarum,,Povalibacter uvarum,0.72153586,M2,Pseudomonadota,58,48.41021442,5,0.445843829,0.58653484,0.025144787,4,0.456140351,754
76,Candidatus Saccharibacteria bacterium oral taxon 955,,Candidatus Saccharibacteria bacterium oral taxon 955,0.7826176,M1,Candidatus Saccharibacteria,24,19.53891188,5,0.367219917,0.447457627,0.039736039,7,0.456521739,126
98,Gaiella occulta,,Gaiella occulta,1.8495606,M3,Actinomycetota,18,14.64472193,6,0.342359768,0.425988701,0.020329964,4,0.45751634,70
28,Arthrobacter sp. YN,,Arthrobacter sp. YN,0.4322709,M1,Acidobacteriota,23,19.00604814,6,0.320652174,0.406967985,0.036956896,7,0.458498024,116
101,Solirubrobacter soli,,Solirubrobacter soli,0.37552634,M3,Actinomycetota,13,10.48304427,5,0.36875,0.427495292,0.014901748,4,0.461538462,36
78,Aciditerrimonas ferrireducens,,Aciditerrimonas ferrireducens,0.7581608,M2,Actinomycetota,51,41.84403354,5,0.418439716,0.557815443,0.026035301,4,0.462745098,590
109,Rubrobacter radiotolerans,,Rubrobacter radiotolerans,0.4501015,M3,Actinomycetota,28,23.06479263,5,0.372631579,0.471280603,0.015255929,4,0.465608466,176
50,Skermanella rosea,,Skermanella rosea,0.7606908,M1,Pseudomonadota,23,18.64679176,4,0.433823529,0.497175141,0.022805597,2,0.466403162,118
8,Skermanella aerolata,,Skermanella aerolata,0.36432198,M1,Pseudomonadota,23,18.76951367,5,0.423444976,0.490772128,0.037545046,2,0.470355731,119
79,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,0.29360208,M1,Candidatus Saccharibacteria,32,25.56782526,5,0.432762836,0.518079096,0.01948577,0,0.471774194,234
94,Microlunatus ginsengisoli,,Microlunatus ginsengisoli,0.4220304,M3,Actinomycetota,14,11.4059574,5,0.389010989,0.447740113,0.005849018,4,0.472527473,43
58,Terrimonas suqianensis,,Terrimonas suqianensis,0.13180166,M1,Bacteroidota,41,33.5785324,5,0.452685422,0.551035782,0.029849589,0,0.490243902,402
93,Microlunatus panaciterrae,,Microlunatus panaciterrae,0.1696314,M3,Actinomycetota,19,15.21253526,5,0.407834101,0.473728814,0.012501759,4,0.49122807,84
164,Candidatus Saccharimonas aalborgensis,,Candidatus Saccharimonas aalborgensis,0.10987488,M1,Candidatus Saccharibacteria,14,11.41188431,6,0.317204301,0.383898305,0.009271925,7,0.494505495,45
124,Microvirga zambiensis,,Microvirga zambiensis,0.2544471,M1,Pseudomonadota,21,17.05435276,5,0.4425,0.503013183,0.01540774,2,0.504761905,106
1,Vicinamibacter silvestris,,Vicinamibacter silvestris,5.933726,M2,Actinomycetota,49,40.66020095,5,0.424460432,0.555743879,0.01705166,4,0.507653061,597
105,Acidibacter ferrireducens,,Acidibacter ferrireducens,0.20384683,M2,Pseudomonadota,41,33.685224,6,0.387308534,0.517043315,0.018906809,4,0.509756098,418
10,Nitrospira japonica,,Nitrospira japonica,1.4023505,M1,Nitrospirota,39,31.56167918,5,0.45974026,0.552448211,0.037640605,2,0.51417004,381
67,Litorilinea aerophila,,Litorilinea aerophila,0.28131345,M2,Chloroflexota,43,35.0092904,5,0.444723618,0.551883239,0.023718511,0,0.517165006,467
18,Planctomycetes bacterium Pla175,,Planctomycetes bacterium Pla175,0.2497485,M2,Planctomycetota,52,43.4635374,5,0.424460432,0.561393597,0.008777973,0,0.52413273,695
34,Arthrobacter sp. KBS0702,,Arthrobacter sp. KBS0702,0.5239538,M1,Acidobacteriota,25,21.1200245,5,0.39159292,0.470150659,0.028864085,7,0.526666667,158
147,Lautropia mirabilis,,Lautropia mirabilis,0.106501535,M3,Pseudomonadota,9,7.156430304,5,0.378205128,0.426082863,0.002032578,4,0.527777778,19
21,Ohtaekwangia koreensis,,Ohtaekwangia koreensis,0.25420615,M2,Bacteroidota,50,41.57638562,5,0.426506024,0.558568738,0.013454592,0,0.531428571,651
3,Stenotrophobacter namibiensis,,Stenotrophobacter namibiensis,0.25673616,M1,Acidobacteriota,33,26.80256039,4,0.45974026,0.539077213,0.027572303,2,0.53219697,281
106,Candidatus Solibacter usitatus,,Candidatus Solibacter usitatus,0.3460095,M2,Acidobacteriota,51,42.22141904,5,0.426506024,0.561393597,0.008639285,4,0.536470588,684
121,Gemmatirosa kalamazoonesis,,Gemmatirosa kalamazoonesis,0.5405796,M3,Gemmatimonadota,20,16.20542395,5,0.36875,0.449905838,0.00570085,4,0.536842105,102
77,Arthrobacter crystallopoietes,,Arthrobacter crystallopoietes,0.17649858,M1,Acidobacteriota,22,18.6014539,6,0.349112426,0.429190207,0.028730943,7,0.541125541,125
102,Terrimonas soli,,Terrimonas soli,0.40962127,M1,Bacteroidota,36,29.3920294,5,0.437037037,0.530320151,0.012015309,2,0.541269841,341
4,Stenotrophobacter terrae,,Stenotrophobacter terrae,0.71780103,M1,Acidobacteriota,36,29.45439363,5,0.440298507,0.533333333,0.01562167,2,0.544444444,343
130,Steroidobacter agariperforans,,Steroidobacter agariperforans,0.26697668,M2,Pseudomonadota,48,39.70091975,5,0.418439716,0.548210923,0.008756552,0,0.546985816,617
2,Stenotrophobacter roseus,,Stenotrophobacter roseus,0.38757402,M1,Acidobacteriota,36,29.28287208,5,0.446969697,0.537382298,0.01555511,2,0.549206349,346
19,Chryseolinea serpens,,Chryseolinea serpens,0.44106573,M2,Bacteroidota,45,37.15717685,5,0.446969697,0.558003766,0.024782821,2,0.550505051,545
174,Caldilinea aerophila,,Caldilinea aerophila,0.18975103,M2,Chloroflexota,45,36.92430699,5,0.422434368,0.545386064,0.011774894,0,0.552525253,547
118,Limisphaera ngatamarikiensis,,Limisphaera ngatamarikiensis,0.34143138,M2,Verrucomicrobiota,46,38.14885676,5,0.416470588,0.542561205,0.00769852,0,0.553623188,573
160,Amaricoccus macauensis,,Amaricoccus macauensis,0.14071696,M1,Pseudomonadota,10,8.033267021,5,0.365702479,0.412241055,0.005387189,2,0.555555556,25
117,Arboricoccus pini,,Arboricoccus pini,0.12300686,M3,Pseudomonadota,8,6.446080565,5,0.333962264,0.382297552,0.002873388,4,0.571428571,16
6,Luteitalea pratensis,,Luteitalea pratensis,1.8666682,M2,Acidobacteriota,43,35.62968993,5,0.418439716,0.538794727,0.007343072,4,0.573643411,518
181,Haliangium tepidum,,Haliangium tepidum,0.23276126,M2,Myxococcota,37,29.94681644,5,0.414519906,0.523258004,0.012557575,0,0.582582583,388
157,Flavitalea gansuensis,,Flavitalea gansuensis,0.113609664,M1,Bacteroidota,16,12.86838168,5,0.400452489,0.457062147,0.011015423,2,0.583333333,70
14,Woeseia oceani,,Woeseia oceani,0.28601202,M2,Pseudomonadota,39,31.95654517,5,0.399548533,0.516854991,0.00461584,4,0.584345479,433
51,Skermanella mucosa,,Skermanella mucosa,0.19432916,M1,Pseudomonadota,17,13.57292211,5,0.398648649,0.458757062,0.003046854,2,0.588235294,80
149,Nocardioides alpinus,,Nocardioides alpinus,0.25577235,M1,Actinomycetota,12,9.550373077,7,0.272727273,0.337207425,0.006738415,7,0.590909091,39
119,Planctomycetes bacterium ETA_A8,,Planctomycetes bacterium ETA_A8,0.4360057,M2,Planctomycetota,36,29.53978974,6,0.402272727,0.511958569,0.005562966,0,0.593650794,374
151,Rhizobium giardinii,,Rhizobium giardinii,0.35058764,M1,Pseudomonadota,5,3.916701019,5,0.334593573,0.369303202,0.002981023,7,0.6,6
182,Planctomyces sp. SH-PL14,,Planctomyces sp. SH-PL14,0.26553097,M1,Planctomycetota,12,9.619861603,5,0.376595745,0.428719397,0.003593045,0,0.606060606,40
82,Tepidiforma bonchosmolovskayae,,Tepidiforma bonchosmolovskayae,0.15204178,M3,Chloroflexota,16,12.78223348,5,0.363449692,0.437382298,0.006595921,4,0.616666667,74
38,Flavisolibacter ginsenosidimutans,,Flavisolibacter ginsenosidimutans,0.38914022,M1,Bacteroidota,17,13.70363438,5,0.372631579,0.434651601,0.006188583,2,0.617647059,84
135,Bacillus sp. S3,,Bacillus sp. S3,0.25685665,M2,Bacillota,41,33.87708932,6,0.379014989,0.509981168,0.010153338,4,0.619512195,508
110,Rubrobacter xylanophilus,,Rubrobacter xylanophilus,0.20926829,M2,Actinomycetota,29,23.46394324,5,0.375796178,0.47693032,0.00214358,4,0.620689655,252
15,Anaeromyxobacter sp. K,,Anaeromyxobacter sp. K,0.15421036,M2,Myxococcota,38,31.18889892,5,0.396860987,0.514595104,0.003886096,4,0.631578947,444
74,Bacillus megaterium,,Bacillus megaterium,0.29745734,M2,Bacillota,40,32.77030218,6,0.381465517,0.510922787,0.005326996,4,0.632051282,493
36,Arthrobacter sp. 24S4-2,,Arthrobacter sp. 24S4-2,0.2133645,M1,Acidobacteriota,18,15.15803206,5,0.372631579,0.436252354,0.006931951,7,0.633986928,97
89,Planctomycetales bacterium,,Planctomycetales bacterium,0.5060028,M2,Planctomycetota,37,30.16916138,5,0.394209354,0.509887006,0.012722197,0,0.636636637,424
32,Arthrobacter sp. QXT-31,,Arthrobacter sp. QXT-31,0.9606824,M1,Acidobacteriota,20,17.48300499,6,0.324770642,0.40094162,0.013288868,7,0.642105263,122
132,Baekduia soli,,Baekduia soli,0.34275663,M3,Actinomycetota,8,6.536817372,6,0.321818182,0.380602637,0.002365044,4,0.642857143,18
184,Labilithrix luteola,,Labilithrix luteola,0.122524954,M1,Myxococcota,8,6.272412539,5,0.367983368,0.412241055,2.46E-04,0,0.642857143,18
129,Microlunatus sp. KUDC0627,,Microlunatus sp. KUDC0627,0.17758287,M2,Actinomycetota,24,19.58118165,5,0.367983368,0.458568738,0.001708452,4,0.644927536,178
99,Brevitalea deliciosa,,Brevitalea deliciosa,0.5900956,M2,Acidobacteriota,34,28.00307941,5,0.416470588,0.514971751,0.01037703,4,0.65597148,368
111,Daejeonella oryzae,,Daejeonella oryzae,0.12095875,M1,Bacteroidota,21,16.83919656,5,0.41943128,0.48606403,0.008958915,2,0.661904762,139
54,Sphingomonas lutea,,Sphingomonas lutea,0.2024011,M1,Pseudomonadota,4,3.37503773,6,0.285945073,0.321092279,0.002234535,7,0.666666667,4
40,Flavisolibacter ginsengiterrae,,Flavisolibacter ginsengiterrae,0.13348834,M1,Bacteroidota,10,7.794070244,5,0.354709419,0.403483992,0.00160138,2,0.666666667,30
56,Ensifer adhaerens,,Ensifer adhaerens,0.10469438,M1,Pseudomonadota,3,2.446068823,7,0.246518106,0.285324186,1.03E-04,7,0.666666667,2
46,Bacillus oryzisoli,,Bacillus oryzisoli,0.30155355,M2,Bacillota,39,32.47269285,6,0.383947939,0.509510358,0.001817269,4,0.677462888,502
70,Nordella oligomobilis,,Nordella oligomobilis,0.22083406,M2,Pseudomonadota,30,24.48397553,5,0.384782609,0.487288136,0.001809966,0,0.689655172,300
87,Planctomycetes bacterium Pla85_3_4,,Planctomycetes bacterium Pla85_3_4,0.22493027,M2,Planctomycetota,31,24.74977189,5,0.425480769,0.512806026,0.007329944,0,0.694623656,323
26,Pseudarthrobacter sp. NIBRBAC000502772,,Pseudarthrobacter sp. NIBRBAC000502772,0.47528115,M1,Actinomycetota,17,13.90189725,5,0.359026369,0.424387947,0.003920927,7,0.698529412,95
97,Nitrosospira multiformis,,Nitrosospira multiformis,0.8449041,M1,Pseudomonadota,5,4.221119583,7,0.245152355,0.287395749,0.001147339,7,0.7,7
170,Candidatus Saccharibacteria bacterium oral taxon 957,,Candidatus Saccharibacteria bacterium oral taxon 957,0.15360798,M1,Candidatus Saccharibacteria,5,3.929463327,5,0.33908046,0.374482109,3.59E-04,7,0.7,7
156,Rhodoplanes sp. Z2-YC6860,,Rhodoplanes sp. Z2-YC6860,0.31709507,M3,Pseudomonadota,15,11.90883291,5,0.358299595,0.429378531,0.001206643,4,0.704761905,74
183,Planctomycetes bacterium Mal4,,Planctomycetes bacterium Mal4,0.1868596,M2,Planctomycetota,23,18.41890138,6,0.376595745,0.464124294,0.001365936,0,0.707509881,179
100,Brevitalea aridisoli,,Brevitalea aridisoli,0.2024011,M2,Acidobacteriota,25,20.00919139,6,0.356854839,0.455084746,0.001430928,4,0.72,216
120,Methyloceanibacter caenitepidi,,Methyloceanibacter caenitepidi,0.22505075,M2,Pseudomonadota,20,16.11365873,6,0.364197531,0.451129944,0.001063061,0,0.721052632,137
133,Microvirga sp. 17 mud 1-3,,Microvirga sp. 17 mud 1-3,0.17770335,M1,Pseudomonadota,13,10.42315149,5,0.395089286,0.447457627,4.32E-04,2,0.730769231,57
73,Peribacillus simplex,,Peribacillus simplex,0.1774624,M2,Bacillota,23,18.52422386,6,0.343023256,0.439548023,0.002493267,4,0.731225296,185
128,Gemmatimonas phototrophica,,Gemmatimonas phototrophica,0.16987236,M2,Gemmatimonadota,20,15.78464836,6,0.349112426,0.440301318,0.001092909,4,0.731578947,139
178,Herbaspirillum seropedicae,,Herbaspirillum seropedicae,0.17240237,M1,Pseudomonadota,14,11.08255386,5,0.380645161,0.43700565,3.80E-04,2,0.747252747,68
191,Sorangium cellulosum,,Sorangium cellulosum,0.15866801,M2,Myxococcota,14,11.01289219,6,0.370292887,0.439642185,3.72E-04,4,0.747252747,68
88,Thermostilla marina,,Thermostilla marina,0.22806267,M2,Planctomycetota,27,21.87465656,6,0.375,0.472693032,6.42E-04,0,0.749287749,263
23,Arthrobacter sp. Rue61a,,Arthrobacter sp. Rue61a,0.2519171,M1,Acidobacteriota,17,13.97356701,6,0.329608939,0.400753296,0.004429013,7,0.75,102
167,Adhaeribacter aerolatus,,Adhaeribacter aerolatus,0.109513454,M1,Bacteroidota,8,6.283914804,5,0.345703125,0.387947269,5.44E-04,7,0.75,21
37,Arthrobacter pascens,,Arthrobacter pascens,0.25480855,M1,Acidobacteriota,19,16.24681497,6,0.330841121,0.406403013,0.002400184,7,0.754385965,129
42,Paraflavitalea soli,,Paraflavitalea soli,0.19107628,M1,Bacteroidota,20,16.26656824,5,0.394209354,0.463370998,9.71E-04,2,0.757894737,144
107,Bacillus circulans,,Bacillus circulans,0.32432368,M2,Bacillota,28,23.01963097,6,0.365702479,0.469491525,5.44E-04,0,0.759259259,287
131,Solirubrobacter ginsenosidimutans,,Solirubrobacter ginsenosidimutans,0.19191962,M3,Actinomycetota,7,5.521337032,6,0.32123412,0.37165725,6.76E-04,4,0.761904762,16
143,Adhaeribacter terreus,,Adhaeribacter terreus,0.18830532,M2,Bacteroidota,7,5.555052698,6,0.351190476,0.399623352,9.13E-05,2,0.761904762,16
11,Nitrospira moscoviensis,,Nitrospira moscoviensis,0.1660171,M2,Nitrospirota,18,14.32334936,6,0.382289417,0.457532957,4.11E-04,0,0.77124183,118
29,Arthrobacter sp. UKPF54-2,,Arthrobacter sp. UKPF54-2,0.41239226,M1,Acidobacteriota,18,15.6946221,6,0.323583181,0.395291902,0.001817973,7,0.777777778,119
59,Planctomycetes bacterium Pan153,,Planctomycetes bacterium Pan153,0.10192341,M2,Planctomycetota,15,11.8925277,5,0.36875,0.440207156,2.19E-04,0,0.780952381,82
72,[Brevibacterium] frigoritolerans,,[Brevibacterium] frigoritolerans,0.3532381,M2,Bacillota,18,14.40680671,6,0.347058824,0.433709981,2.18E-04,4,0.784313725,120
64,Paenibacillus castaneae,,Paenibacillus castaneae,0.23408651,M2,Bacillota,24,19.3601082,6,0.345703125,0.444067797,4.88E-04,4,0.786231884,217
134,Neobacillus niacini,,Neobacillus niacini,0.14565651,M2,Bacillota,27,21.83258557,6,0.367219917,0.469491525,5.30E-04,4,0.786324786,276
95,Friedmanniella endophytica,,Friedmanniella endophytica,0.13348834,M3,Actinomycetota,5,4.015967727,6,0.341040462,0.380225989,2.75E-05,2,0.8,8
122,Roseisolibacter agri,,Roseisolibacter agri,0.20276253,M3,Verrucomicrobiota,13,10.42341691,5,0.357575758,0.424670433,4.90E-04,4,0.807692308,63
24,Arthrobacter sp. PGP41,,Arthrobacter sp. PGP41,0.60587806,M1,Acidobacteriota,17,14.66717523,6,0.307291667,0.378436911,6.27E-04,7,0.808823529,110
161,Bdellovibrio bacteriovorus,,Bdellovibrio bacteriovorus,0.14409031,M1,Bdellovibrionota,18,14.31407487,5,0.386462882,0.455178908,5.78E-04,2,0.810457516,124
166,Polyangium fumosum,,Polyangium fumosum,0.11421205,M2,Myxococcota,12,9.536600769,6,0.343023256,0.410640301,1.66E-04,0,0.818181818,54
49,Metabacillus litoralis,,Metabacillus litoralis,0.18758245,M2,Bacillota,24,19.70971012,6,0.347740668,0.446892655,5.27E-04,4,0.81884058,226
172,Legionella pneumophila,,Legionella pneumophila,0.1597523,M4,Pseudomonadota,8,6.356661856,6,0.347058824,0.403201507,1.86E-04,0,0.821428571,23
171,Georgfuchsia toluolica,,Georgfuchsia toluolica,0.15288512,M2,Pseudomonadota,8,6.37141645,6,0.319494585,0.384180791,4.49E-05,0,0.821428571,23
177,Bacillus sp. 1NLA3E,,Bacillus sp. 1NLA3E,0.1254164,M2,Bacillota,25,20.42092037,6,0.351888668,0.453954802,4.62E-04,4,0.826666667,248
84,Crinalium epipsammum,,Crinalium epipsammum,0.6435873,M4,Cyanobacteriota,4,3.65387845,7,0.263785395,0.297888082,0.003163176,5,0.833333333,5
83,Anabaena cylindrica,,Anabaena cylindrica,0.29962593,M4,Cyanobacteriota,4,3.500425279,7,0.263785395,0.297888082,0.003163176,5,0.833333333,5
30,Arthrobacter sp. ZXY-2,,Arthrobacter sp. ZXY-2,0.24962802,M1,Acidobacteriota,4,3.251225948,7,0.263392857,0.303497444,3.36E-05,7,0.833333333,5
66,Nitrosospira lacus,,Nitrosospira lacus,0.24408609,M1,Pseudomonadota,4,3.284586489,7,0.219602978,0.250040355,1.82E-05,7,0.833333333,5
57,Fimbriimonas ginsengisoli,,Fimbriimonas ginsengisoli,0.17734192,M2,Armatimonadota,4,3.118227899,6,0.345703125,0.392184557,7.82E-06,0,0.833333333,5
163,Nitrobacter winogradskyi,,Nitrobacter winogradskyi,0.13023548,M1,Pseudomonadota,4,3.301313758,7,0.244813278,0.284570891,5.13E-04,7,0.833333333,5
188,Chroococcidiopsis thermalis,,Chroococcidiopsis thermalis,0.111079656,M4,Cyanobacteriota,4,3.520642519,7,0.263785395,0.297888082,0.003163176,5,0.833333333,5
108,Rubrobacter spartanus,,Rubrobacter spartanus,0.1784262,M2,Actinomycetota,11,8.8282637,6,0.35049505,0.413841808,1.33E-04,4,0.854545455,47
